Timestep,Marker ID,Position (x),Position (y),Position (z)
71,4,12.565793921160406,8.264386265085122,51.87654800531174
71,3,-14.274186552164625,-10.626442913871198,38.74982106184454
72,4,12.565793921160406,8.264386265085122,51.87654800531174
72,3,-14.107774713402756,-10.511420984508508,38.22313131337092
73,4,12.670411924629834,8.346419023925726,52.45453765252165
73,3,-14.107774713402756,-10.511420984508508,38.22313131337092
74,4,12.670411924629834,8.346419023925726,52.45453765252165
74,3,-14.206243764128534,-10.572610938266342,38.4498567579786
75,4,12.670411924629834,8.346419023925726,52.45453765252165
75,3,-14.107774713402756,-10.511420984508508,38.22313131337092
76,4,12.670411924629834,8.346419023925726,52.45453765252165
76,3,-14.206243764128534,-10.572610938266342,38.4498567579786
77,4,12.670411924629834,8.346419023925726,52.45453765252165
77,3,-14.107774713402756,-10.511420984508508,38.22313131337092
78,4,12.670411924629834,8.346419023925726,52.45453765252165
78,3,-14.107774713402756,-10.511420984508508,38.22313131337092
79,4,12.565793921160406,8.264386265085122,51.87654800531174
79,3,-14.107774713402756,-10.511420984508508,38.22313131337092
80,4,12.670411924629834,8.346419023925726,52.45453765252165
80,3,-14.107774713402756,-10.511420984508508,38.22313131337092
81,4,12.670411924629834,8.346419023925726,52.45453765252165
81,3,-14.107774713402756,-10.511420984508508,38.22313131337092
82,4,12.670411924629834,8.346419023925726,52.45453765252165
82,3,-14.250612934556745,-10.587620980159933,38.614675269840276
83,4,12.670411924629834,8.346419023925726,52.45453765252165
83,3,-14.107774713402756,-10.511420984508508,38.22313131337092
84,4,12.670411924629834,8.346419023925726,52.45453765252165
84,3,-14.274186552164625,-10.626442913871198,38.74982106184454
85,4,12.670411924629834,8.346419023925726,52.45453765252165
85,3,-14.206243764128534,-10.572610938266342,38.4498567579786
86,4,12.565793921160406,8.264386265085122,51.87654800531174
86,3,-14.107774713402756,-10.511420984508508,38.22313131337092
87,4,12.670411924629834,8.346419023925726,52.45453765252165
87,3,-14.206243764128534,-10.572610938266342,38.4498567579786
88,4,12.670411924629834,8.346419023925726,52.45453765252165
88,3,-14.107774713402756,-10.511420984508508,38.22313131337092
89,4,12.670411924629834,8.346419023925726,52.45453765252165
89,3,-14.107774713402756,-10.511420984508508,38.22313131337092
90,4,12.565793921160406,8.264386265085122,51.87654800531174
90,3,-14.274186552164625,-10.626442913871198,38.74982106184454
91,17,103.64998172229917,59.78844362873551,116.57370342696072
91,4,12.565793921160406,8.264386265085122,51.87654800531174
91,3,-14.107774713402756,-10.511420984508508,38.22313131337092
92,4,12.670411924629834,8.346419023925726,52.45453765252165
92,3,-14.107774713402756,-10.511420984508508,38.22313131337092
93,4,12.670411924629834,8.346419023925726,52.45453765252165
93,3,-14.107774713402756,-10.511420984508508,38.22313131337092
94,4,12.670411924629834,8.346419023925726,52.45453765252165
94,3,-14.206243764128534,-10.572610938266342,38.4498567579786
